albumID,artist,popular,loudness,speechiness,duration
1,Joey+Rory,60,-4.96,0.05,11.61
2,DraacoAventura,54,-7.23,0.04,11.61
3,JustinBieber,35,-8.33,0.05,11.61
4,PeervanMladen,66,-6.53,0.06,9.01
5,ChrisJanson,53,-4.28,0.22,9.01
6,OneDirection,53,0.88,0.11,9.01
7,Drake,48,-9.65,0.1,9.01
8,CarrieUnderwood,55,-9.92,0.03,3.11
9,EdSheeran,29,-5.4,0.05,8.82
10,TaylorSwift,14,-4.35,0.03,8.82
11,SayWeCanFly,11,-8.59,0.03,4.33
12,SelenaGomez,59,-5.19,0.07,8.82
13,ChrisBrown,34,-7.62,0.05,8.52
14,NickiMinaj,34,-12.07,0.03,4.44
15,FifthHarmony,76,-10.16,0.05,8.52
16,ThomasRhett,37,-6.52,0.04,8.52
17,Eminem,14,-3.61,0.04,8.52
18,BeyoncAc,31,-4.73,0.05,8.38
19,MeghanTrainor,29,-5.94,0.02,8.38
20,TwentyOnePilots,70,-5.8,0.06,8.38
21,FettyWap,48,-8.07,0.04,8.34
22,fiveSecondsOfSummer,44,-9.83,0.29,8.34
23,JasonAldean,29,-9.45,0.11,8.34
24,LukeBryan,44,-6.13,0.08,7.62
25,BlakeShelton,44,-12.16,0.03,7.62
26,Rihanna,55,-8.44,0.11,7.62
27,ElvisPresley,73,-13.22,0.09,7.54
28,ArianaGrande,35,-10.14,0.04,7.54
29,JDShelburne,66,-6.51,0.04,7.54
30,LilWayne,30,-6,0.09,7.23
31,DemiLovato,81,-4.05,0.05,7.23
32,Maroonfive,4,-4.29,0.09,7.23
33,SamHunt,49,-3.65,0.14,7.21
34,GeorgeStrait,42,-7.33,0.15,7.21
35,WizKhalifa,16,-20.32,0.04,3.5
36,MirandaLambert,29,-3.99,0.06,7.21
37,DJKhaled,47,-15.17,0.04,2.82
38,PornoforPyros,47,-9.28,0.04,7.02
39,KatyPerry,37,-12.83,0.04,7.02
40,MileyCyrus,44,-6.49,0.12,7.02
41,TimMcGraw,63,-6.87,0.03,7.02
42,TheWeeknd,44,-6.5,0.03,6.9
43,Macklemore&RyanLewis,55,-7.5,0.08,6.9
44,EllieGoulding,55,-9.36,0.04,6.9
45,MichaelJackson,49,-9.1,0.03,6.9
46,RascalFlatts,37,-7.41,0.07,6.84
47,BritneySpears,56,-8.21,0.04,6.84
48,ZacBrownBand,47,-19.2,0.04,6.84
49,HeartytwoRaw,49,-7.55,0.04,6.79
50,Future,48,-4.25,0.04,6.79
51,LadyAntebellum,55,-9.93,0.03,3.39
52,AdamLevine,28,-10.36,0.12,6.79
53,JanetJackson,47,-9.18,0.04,6.76
54,KeithUrban,77,-8.9,0.04,6.76
55,SamSmith,53,-11.49,0.04,6.76
56,JasonDerulo,18,-13.89,0.03,6.76
57,ToriKelly,9,-10.52,0.06,6.48
58,twoPac,34,-6.58,0.03,6.48
59,Ciara,41,-4.87,0.09,6.48
60,OldDominion,49,-9.34,0.03,6.48
61,RandyHouser,20,-9.57,0.06,3.58
62,EricChurch,59,-3.96,0.04,6.26
63,Shakira,38,-9.42,0.03,6.26
64,BrunoMars,56,-4.78,0.3,6.26
65,LittleBigTown,26,-7.57,0.03,6.24
66,RickRoss,41,-15.79,0.15,6.24
67,TobyKeith,35,-9.33,0.42,6.24
68,BrianCollins,30,-3.06,0.1,6.24
69,Sia,54,-6.41,0.06,6.18
70,DixieChicks,24,-8.52,0.03,6.18
71,KanyeWest,63,-6.27,0.14,6.18
72,ShaniaTwain,68,-5.67,0.08,6.11
73,EnriqueIglesias,43,-7.98,0.04,6.11
74,TheBandPerry,41,-4.91,0.03,6.11
75,KelliePickler,57,-6.52,0.03,6.1
76,RandyOwen,42,-6.46,0.05,6.1
77,KelseaBallerini,79,-5.69,0.04,6.1
78,LanaDelRey,71,-15.47,0.03,6.06
79,FreddieMercury,33,-10.39,0.05,6.06
80,MartinGarrix,44,-4.87,0.04,6.06
81,BrettEldredge,41,-4.3,0.12,6.06
82,TreySongz,55,-11.48,0.18,3.81
83,YoungThug,43,-14.54,0.07,6.02
84,MariahCarey,63,-12.44,0.03,6.02
85,JenniferLopez,35,-13.45,0.03,6.02
86,ShawnMendes,81,-11.38,0.04,4.98
87,Halsey,45,-6.06,0.05,5.98
88,TheXX,13,-13.7,0.04,5.98
89,KurtStevens,41,-19.54,0.03,2.72
90,R.Kelly,51,-5.21,0.08,5.98
91,fivezeroCent,41,-5.15,0.05,5.97
92,KennyChesney,62,-11.75,0.03,5.97
93,LinkinPark,44,-11.51,0.41,5.97
94,Akon,66,-11.63,0.03,3.59
95,AvengedSevenfold,60,-8.02,0.1,5.93
96,JohnLegend,28,-6.17,0.1,5.93
97,ColeSwindell,38,-2.49,0.06,5.93
98,JustinMoore,3,-9.14,0.14,5.93
99,Jewel,24,-13.58,0.06,5.93
100,Maddie&Tae,25,-3.28,0.07,5.93
101,ChrisYoung,63,-8.51,0.22,5.78
102,HunterHayes,22,-11.82,0.04,5.78
103,CanaanSmith,71,-6.02,0.03,2.48
104,Madonna,55,-6.17,0.03,5.78
105,AlbertPhillips,28,-6.25,0.11,5.78
106,BrantleyGilbert,55,-5.22,0.04,5.74
107,Coldplay,44,-5.63,0.05,5.74
108,JayZ,65,-3.23,0.04,5.74
109,LadyGaga,11,-4.56,0.11,5.74
110,LilFizz,44,-7.68,0.05,5.66
111,IggyAzalea,66,-11.94,0.03,5.66
112,ChaseRice,40,-16.64,0.04,3.55
113,DanielleBradbery,59,-1.8,0.08,5.66
114,DustinLynch,42,-4.01,0.04,5.65
115,KaceyMusgraves,44,-6.37,0.03,5.65
116,AlanJackson,16,-11.5,0.07,2.81
117,BackstreetBoys,47,-8.26,0.04,5.65
118,HankWilliamsJr,19,-6.99,0.05,5.65
119,TheVamps,38,-9.58,0.05,5.65
120,JadenSmith,59,-10.51,0.05,3.34
121,JoJo,57,-9.9,0.06,5.65
122,KendrickLamar,42,-11.64,0.03,6.06
123,BeckyG,43,-7.27,0.02,5.58
124,JoshTurner,62,-5.14,0.05,5.58
125,BradPaisley,50,-12.8,0.04,5.58
126,GwenStefani,57,-3.92,0.06,5.47
127,MikelKnight,60,-11.93,0.03,5.47
128,RachelPlatten,52,-18.25,0.03,5.47
129,RebaMcEntire,28,-10.16,0.04,5.47
130,DariusRucker,37,-7.23,0.23,5.42
131,FloridaGeorgiaLine,56,-6.53,0.07,5.42
132,BarbraStreisand,50,-11.17,0.25,5.42
133,FallOutBoy,45,-10.91,0.05,5.4
134,Prince,50,-8.98,0.09,5.4
135,K.Michelle,48,-5.19,0.07,5.4
136,LittleMix,10,-11.76,0.06,5.38
137,BLACKBEAR,38,-11.89,0.03,5.38
138,CalvinHarris,54,-5.33,0.04,5.38
139,JanaKramer,32,-6.71,0.03,5.38
140,KennyRogers,69,-5.46,0.15,5.38
141,T.I.,38,-6.94,0.04,5.38
142,TroyeSivan,41,-12.93,0.04,5.74
143,BrothersOsborne,30,-11.64,0.06,5.38
144,RitaOra,7,-7.19,0.06,3.18
145,TLC,71,-5.27,0.08,2.85
146,Aaliyah,21,-6.06,0.05,5.26
147,KirkFranklin,23,-4.97,0.11,5.26
148,KidRock,30,-11.8,0.03,5.26
149,Skrillex,66,-5.58,0.04,5.22
150,EdRoman,69,-5.43,0.03,5.22
151,DonWilliams,50,-4.9,0.03,5.22
152,Lonestar,34,-14.7,0.04,6.9
153,Nelly,49,-5.15,0.07,5.21
154,WillieNelson,30,-8.03,0.04,4.76
155,Zonke,65,-4.9,0.06,5.19
156,CharliXCX,17,-8,0.03,5.19
157,XAmbassadors,32,-5.27,0.04,5.19
158,JessieJ,41,-4.73,0.11,5.18
159,Westlife,48,-9.72,0.05,5.18
160,Tinashe,42,-5.72,0.12,5.18
161,DMX,37,-7.8,0.03,5.18
162,MeekMill,19,-4.48,0.05,5.18
163,Usher,41,-13.62,0.16,5.18
164,BRANDYCLARK,58,-4.7,0.04,5.16
165,DollyParton,32,-6.6,0.12,5.16
166,FooFighters,37,-6.56,0.03,5.16
167,MarkWills,33,-10.62,0.04,5.15
168,PrinceRoyce,39,-2.69,0.22,5.15
169,Pentatonix,42,-6.21,0.04,5.15
170,FloRida,39,-4.04,0.08,5.14
171,WhitneyHouston,55,-12.37,0.06,5.14
172,AvrilLavigne,30,-5.67,0.07,5.14
173,PharrellWilliams,17,-11.11,0.03,5.09
174,DwightYoakam,24,-5.74,0.31,5.09
175,LeeBrice,33,-10.47,0.04,5.09
176,BarbaraMandrell,30,-11.5,0.03,5.09
